time_hour,predicted_up_count,predicted_down_count,predicted_total_count,date,hour,day_name,predicted_up_count_rounded,predicted_down_count_rounded,predicted_total_count_rounded
2026-05-22 21:00:00,12.517950753880516,12.280596896549762,24.79854765043028,2026-05-22,21,Friday,13,12,25
2026-05-22 22:00:00,14.559135787816487,13.335292309818263,27.89442809763475,2026-05-22,22,Friday,15,13,28
2026-05-22 23:00:00,14.211237505635712,13.430819542011584,27.642057047647295,2026-05-22,23,Friday,14,13,28
2026-05-23 00:00:00,5.930753439242481,5.227119249272701,11.157872688515182,2026-05-23,0,Saturday,6,5,11
2026-05-23 01:00:00,5.815606369996642,5.522841768931903,11.338448138928545,2026-05-23,1,Saturday,6,6,11
2026-05-23 02:00:00,5.820380826528115,5.7829837083741245,11.60336453490224,2026-05-23,2,Saturday,6,6,12
2026-05-23 03:00:00,5.773160498832923,5.79299391025009,11.566154409083012,2026-05-23,3,Saturday,6,6,12
2026-05-23 04:00:00,5.631491880713378,5.747019168382547,11.378511049095925,2026-05-23,4,Saturday,6,6,11
2026-05-23 05:00:00,6.327826440218411,6.0496670774578885,12.3774935176763,2026-05-23,5,Saturday,6,6,12
2026-05-23 06:00:00,12.434136402050187,10.807328046044818,23.241464448095005,2026-05-23,6,Saturday,12,11,23
2026-05-23 07:00:00,27.480080403486912,25.104326168121204,52.58440657160811,2026-05-23,7,Saturday,27,25,53
2026-05-23 08:00:00,27.10319476179584,25.807196821646322,52.91039158344216,2026-05-23,8,Saturday,27,26,53
2026-05-23 09:00:00,26.915484875136052,26.289124334132683,53.20460920926874,2026-05-23,9,Saturday,27,26,53
2026-05-23 10:00:00,13.005278445816261,11.552879634960982,24.558158080777243,2026-05-23,10,Saturday,13,12,25
2026-05-23 11:00:00,20.242594005692823,18.940015266596106,39.18260927228893,2026-05-23,11,Saturday,20,19,39
2026-05-23 12:00:00,19.329620966604633,17.69450652603534,37.02412749263998,2026-05-23,12,Saturday,19,18,37
2026-05-23 13:00:00,19.902348877760097,18.747434216937947,38.649783094698044,2026-05-23,13,Saturday,20,19,39
2026-05-23 14:00:00,12.597641723436,11.449092502762516,24.046734226198517,2026-05-23,14,Saturday,13,11,24
2026-05-23 15:00:00,13.839075474277342,12.765779331438605,26.604854805715945,2026-05-23,15,Saturday,14,13,27
2026-05-23 16:00:00,12.669705167456941,11.734639384241452,24.404344551698394,2026-05-23,16,Saturday,13,12,24
2026-05-23 17:00:00,34.8962889365891,31.549188118227022,66.44547705481612,2026-05-23,17,Saturday,35,32,66
2026-05-23 18:00:00,34.994947568873094,31.55046643235396,66.54541400122706,2026-05-23,18,Saturday,35,32,67
2026-05-23 19:00:00,35.15704005075281,31.586358713179543,66.74339876393236,2026-05-23,19,Saturday,35,32,67
2026-05-23 20:00:00,33.357880440976125,30.005007625196946,63.36288806617307,2026-05-23,20,Saturday,33,30,63
2026-05-23 21:00:00,12.965286902884259,11.930666732595059,24.895953635479316,2026-05-23,21,Saturday,13,12,25
2026-05-23 22:00:00,12.722772674726734,11.617336779318746,24.340109454045482,2026-05-23,22,Saturday,13,12,24
2026-05-23 23:00:00,14.655573086053812,14.084948915991951,28.740522002045765,2026-05-23,23,Saturday,15,14,29
2026-05-24 00:00:00,5.7981953156762245,5.174623260970894,10.972818576647118,2026-05-24,0,Sunday,6,5,11
2026-05-24 01:00:00,5.737194924359151,5.400399898766867,11.137594823126019,2026-05-24,1,Sunday,6,5,11
2026-05-24 02:00:00,6.019628319342668,5.850022345319176,11.869650664661844,2026-05-24,2,Sunday,6,6,12
2026-05-24 03:00:00,6.479229274327313,6.461875268858186,12.9411045431855,2026-05-24,3,Sunday,6,6,13
2026-05-24 04:00:00,5.677499163864437,5.7820001601984155,11.459499324062852,2026-05-24,4,Sunday,6,6,11
2026-05-24 05:00:00,6.026204637589704,5.850188644544111,11.876393282133815,2026-05-24,5,Sunday,6,6,12
